Mountpoint,Date(day),Daily Online Minute,Daily Online Percentage,Daily Offline Minute,Daily Offline Percentage,Offline Records
2ANG,2026-02-10,549.0,98.74,7.0,1.26,1
2ANN,2026-02-10,81.0,57.04,61.0,42.96,0
2BAL,2026-02-10,552.0,99.28,4.0,0.72,0
2BAS,2026-02-10,95.0,66.9,47.0,33.1,0
2BIL,2026-02-10,466.0,99.15,4.0,0.85,0
2CHR,2026-02-10,977.0,99.49,5.0,0.51,0
2CIU,2026-02-10,125.0,62.19,76.0,37.81,1
2CLI,2026-02-10,1195.0,91.85,106.0,8.15,27
2CUM,2026-02-10,358.0,76.17,112.0,23.83,2
2DUN,2026-02-10,201.0,98.05,4.0,1.95,0
2FIG,2026-02-10,99.0,71.74,39.0,28.26,0
2GAW,2026-02-10,405.0,99.02,4.0,0.98,0
2IMP,2026-02-10,523.0,94.06,33.0,5.94,2
2INV,2026-02-10,1102.0,99.64,4.0,0.36,0
2KIR,2026-02-10,50.0,92.59,4.0,7.41,0
2OBA,2026-02-10,1249.0,99.44,7.0,0.56,1
2PIM,2026-02-10,152.0,97.44,4.0,2.56,1
2SAL,2026-02-10,147.0,74.62,50.0,25.38,1
2UBE,2026-02-10,87.0,43.28,114.0,56.72,0
2VIE,2026-02-10,107.0,76.43,33.0,23.57,0
2WOR,2026-02-10,1060.0,97.34,29.0,2.66,6
FRDZ,2026-02-10,852.0,99.88,1.0,0.12,0
FRGU,2026-02-10,852.0,99.88,1.0,0.12,0
FRMY,2026-02-10,551.0,99.82,1.0,0.18,0
FRPL,2026-02-10,33.0,89.19,4.0,10.81,0
FRSU,2026-02-10,1314.0,99.7,4.0,0.3,0
FRVL,2026-02-10,647.0,99.39,4.0,0.61,0
2ANG,2026-02-11,1440.0,100.0,0.0,0.0,0
2ANN,2026-02-11,1440.0,100.0,0.0,0.0,0
2BAL,2026-02-11,1440.0,100.0,0.0,0.0,0
2BAS,2026-02-11,1429.0,99.24,11.0,0.76,1
2BIL,2026-02-11,1434.0,99.58,6.0,0.42,2
2CHR,2026-02-11,1437.0,99.79,3.0,0.21,1
