Mountpoint,Date(day),Daily Online Minute,Daily Online Percentage,Daily Offline Minute,Daily Offline Percentage
2BIL,2026-02-08,473.27,98.73,6.1,1.27
2CAS,2026-02-08,0.02,0.55,3.03,99.45
2CHR,2026-02-08,0.02,0.54,3.05,99.46
2CLI,2026-02-08,883.62,94.69,49.6,5.31
2CUM,2026-02-08,696.98,95.71,31.22,4.29
2DUN,2026-02-08,0.02,0.54,3.05,99.46
2KIR,2026-02-08,0.02,0.55,3.03,99.45
2NER,2026-02-08,493.27,98.79,6.07,1.21
2SAL,2026-02-08,0.02,0.13,12.5,99.87
2UBE,2026-02-08,0.02,0.06,26.5,99.94
2WOR,2026-02-08,22.38,67.79,10.63,32.21
FRAV,2026-02-08,0.02,9.09,0.17,90.91
FRCD,2026-02-08,0.02,8.33,0.18,91.67
FRDZ,2026-02-08,0.02,100.0,0.0,0.0
FREB,2026-02-08,0.02,8.33,0.18,91.67
FRGU,2026-02-08,0.02,100.0,0.0,0.0
FRMS,2026-02-08,0.02,8.33,0.18,91.67
FRMY,2026-02-08,12.17,97.07,0.37,2.93
FRNU,2026-02-08,203.15,92.93,15.47,7.07
FRPL,2026-02-08,0.02,0.55,3.03,99.45
FRSI,2026-02-08,0.02,8.33,0.18,91.67
FRUN,2026-02-08,0.02,8.33,0.18,91.67
FRVL,2026-02-08,0.02,8.33,0.18,91.67
