Time,Mountpoint,Status
2026/04/29 14:26:08,KONZ,1
2026/04/29 14:26:09,KONZ,0
2026/04/29 14:26:20,KONZ,0
2026/04/29 14:26:21,KONZ,1
2026/04/29 15:45:12,2UBE,1
2026/04/29 15:45:13,2UBE,0
2026/04/29 15:46:16,2VIE,1
2026/04/29 15:46:17,2VIE,0
2026/04/29 15:47:12,2UBE,0
2026/04/29 15:47:13,2UBE,1
2026/04/29 15:49:19,2VIE,0
2026/04/29 15:49:20,2VIE,1
2026/04/29 16:35:32,FRSU,1
2026/04/29 16:35:33,FRSU,0
2026/04/29 16:35:44,FRSU,0
2026/04/29 16:35:45,FRSU,1
2026/04/29 16:38:04,FRSU,1
2026/04/29 16:38:05,FRSU,0
2026/04/29 16:38:16,FRSU,0
2026/04/29 16:38:17,FRSU,1
2026/04/29 16:39:47,2GAW,1
2026/04/29 16:39:48,2GAW,0
2026/04/29 16:42:50,2GAW,0
2026/04/29 16:42:51,2GAW,1
2026/04/29 17:53:17,FRAG,1
2026/04/29 17:53:18,FRAG,0
2026/04/29 17:53:29,FRAG,0
2026/04/29 17:53:30,FRAG,1
2026/04/29 18:16:43,2IMP,1
2026/04/29 18:16:44,2IMP,0
2026/04/29 18:19:46,2IMP,0
2026/04/29 18:19:47,2IMP,1
2026/04/29 20:42:57,FRSU,1
2026/04/29 20:42:58,FRSU,0
2026/04/29 20:43:08,FRSU,0
2026/04/29 20:43:09,FRSU,1
2026/04/29 22:06:31,2OBA,1
2026/04/29 22:06:32,2OBA,0
2026/04/29 22:09:34,2OBA,0
2026/04/29 22:09:35,2OBA,1
2026/04/29 22:21:29,2CHR,1
2026/04/29 22:21:30,2CHR,0
2026/04/29 22:24:41,2CHR,0
2026/04/29 22:24:42,2CHR,1
2026/04/30 00:16:11,FRDO,1
2026/04/30 00:16:12,FRDO,0
2026/04/30 00:25:13,FRDO,0
2026/04/30 00:25:14,FRDO,1
2026/04/30 02:23:21,2CUM,1
2026/04/30 02:23:22,2CUM,0
2026/04/30 02:26:23,2CUM,0
2026/04/30 02:26:24,2CUM,1
2026/04/30 03:30:03,2OBA,1
2026/04/30 03:30:04,2OBA,0
2026/04/30 03:33:05,2OBA,0
2026/04/30 03:33:06,2OBA,1
2026/04/30 05:30:42,2PIM,1
2026/04/30 05:30:43,2PIM,0
2026/04/30 05:31:12,2PIM,0
2026/04/30 05:31:13,2PIM,1
2026/04/30 05:31:41,FRSU,1
2026/04/30 05:31:42,FRSU,0
2026/04/30 05:31:51,FRSU,0
2026/04/30 05:31:52,FRSU,1
2026/04/30 05:51:56,FRSU,1
2026/04/30 05:51:57,FRSU,0
2026/04/30 05:52:07,FRSU,0
2026/04/30 05:52:08,FRSU,1
2026/04/30 06:11:41,FRSU,1
2026/04/30 06:11:42,FRSU,0
2026/04/30 06:11:52,FRSU,0
2026/04/30 06:11:53,FRSU,1
2026/04/30 06:36:38,2OBA,1
2026/04/30 06:36:39,2OBA,0
2026/04/30 06:39:41,2OBA,0
2026/04/30 06:39:42,2OBA,1
2026/04/30 07:15:56,FRPL,0
2026/04/30 07:15:57,FRPL,1
2026/04/30 07:31:09,FRMY,0
2026/04/30 07:31:10,FRMY,1
2026/04/30 07:57:40,FRSU,1
2026/04/30 07:57:41,FRSU,0
2026/04/30 07:57:51,FRSU,0
2026/04/30 07:57:52,FRSU,1
2026/04/30 08:02:31,FRSU,1
2026/04/30 08:02:32,FRSU,0
2026/04/30 08:02:42,FRSU,0
2026/04/30 08:02:43,FRSU,1
2026/04/30 08:04:51,2DUN,1
2026/04/30 08:04:52,2DUN,0
2026/04/30 08:10:53,2DUN,0
2026/04/30 08:10:54,2DUN,1
2026/04/30 08:16:19,2BIL,1
2026/04/30 08:16:20,2BIL,0
2026/04/30 08:17:21,FRSU,1
2026/04/30 08:17:22,FRSU,0
2026/04/30 08:17:32,FRSU,0
2026/04/30 08:17:33,FRSU,1
2026/04/30 08:19:36,2BIL,0
2026/04/30 08:19:37,2BIL,1
2026/04/30 08:47:28,FRSU,1
2026/04/30 08:47:29,FRSU,0
2026/04/30 08:47:39,FRSU,0
2026/04/30 08:47:40,FRSU,1
2026/04/30 09:01:59,2INV,1
2026/04/30 09:02:00,2INV,0
2026/04/30 09:05:19,2INV,0
2026/04/30 09:05:20,2INV,1
2026/04/30 09:55:42,2UBE,1
2026/04/30 09:55:43,2UBE,0
2026/04/30 09:58:44,2UBE,0
2026/04/30 09:58:45,2UBE,1
2026/04/30 09:59:03,2LIA,1
2026/04/30 09:59:04,2LIA,0
2026/04/30 10:02:05,2LIA,0
2026/04/30 10:02:06,2LIA,1
2026/04/30 10:48:21,2ANG,1
2026/04/30 10:48:22,2ANG,0
2026/04/30 10:51:24,2ANG,0
2026/04/30 10:51:25,2ANG,1
2026/04/30 10:55:23,FRPA,1
2026/04/30 10:55:24,FRPA,0
2026/04/30 11:49:16,FRPA,0
2026/04/30 11:49:17,FRPA,1
2026/04/30 11:59:58,2OBA,1
2026/04/30 11:59:59,2OBA,0
2026/04/30 12:03:13,2OBA,0
2026/04/30 12:03:14,2OBA,1
2026/04/30 12:35:36,FRSU,1
2026/04/30 12:35:37,FRSU,0
2026/04/30 12:35:46,FRSU,0
2026/04/30 12:35:47,FRSU,1
2026/04/30 12:41:15,FRSU,1
2026/04/30 12:41:16,FRSU,0
2026/04/30 12:44:18,FRSU,0
2026/04/30 12:44:19,FRSU,1
2026/04/30 13:04:42,2CHR,1
2026/04/30 13:04:43,2CHR,0
2026/04/30 13:05:12,2CHR,0
2026/04/30 13:05:13,2CHR,1
2026/04/30 13:07:42,2CHR,1
2026/04/30 13:07:43,2CHR,0
2026/04/30 13:10:42,2CHR,0
2026/04/30 13:10:43,2CHR,1
2026/04/30 13:12:12,2CHR,1
2026/04/30 13:12:13,2CHR,0
2026/04/30 13:14:12,2CHR,0
2026/04/30 13:14:13,2CHR,1
2026/04/30 13:35:07,2WOR,1
2026/04/30 13:35:08,2WOR,0
2026/04/30 13:38:09,2WOR,0
2026/04/30 13:38:10,2WOR,1
2026/04/30 13:42:18,FRSU,1
2026/04/30 13:42:19,FRSU,0
2026/04/30 13:42:29,FRSU,0
2026/04/30 13:42:30,FRSU,1
2026/05/27 14:16:01,FRMZ,1
2026/05/27 14:16:01,30C1,1
2026/05/27 14:16:01,AC15,1
2026/05/27 14:16:01,FRCA,1
2026/05/27 14:16:01,480,1
2026/05/27 14:16:01,2ANG,1
2026/05/27 14:16:01,FRDY,1
2026/05/27 14:16:01,2ANN,1
2026/05/27 14:16:01,2UBE,1
2026/05/27 14:16:01,LEST,0
2026/05/27 14:16:01,FRBA,1
2026/05/27 14:16:01,2GAW,1
2026/05/27 14:16:01,C82E,1
2026/05/27 14:16:01,FRDO,1
2026/05/27 14:16:01,CHSY,0
2026/05/27 14:16:01,A0A0,1
2026/05/27 14:16:01,D48C,1
2026/05/27 14:16:01,2OBA,1
2026/05/27 14:16:01,FREB,1
2026/05/27 14:16:01,24D5,1
2026/05/27 14:16:01,FRNE,1
2026/05/27 14:16:01,FRPA,1
2026/05/27 14:16:01,FRDZ,1
2026/05/27 14:16:01,24D1,1
2026/05/27 14:16:01,C821,1
2026/05/27 14:16:01,FRME,1
2026/05/27 14:16:01,C05D,1
2026/05/27 14:16:01,2IMP,1
2026/05/27 14:16:01,FRMS,1
2026/05/27 14:16:01,FRCH,1
2026/05/27 14:16:01,9CB0,1
2026/05/27 14:16:01,FRAV,1
2026/05/27 14:16:01,FRCD,1
2026/05/27 14:16:01,AC10,1
2026/05/27 14:16:01,40D9,1
2026/05/27 14:16:01,2INV,1
2026/05/27 14:16:01,2CHR,1
2026/05/27 14:16:01,E460,1
2026/05/27 14:16:01,24D0,1
2026/05/27 14:16:01,9CB1,1
2026/05/27 14:16:01,E462,1
2026/05/27 14:16:01,24DC,1
2026/05/27 14:16:01,3498,1
2026/05/27 14:16:01,FRSU,1
2026/05/27 14:16:01,24D2,1
2026/05/27 14:16:01,FRDM,0
2026/05/27 14:16:01,2BAS,1
2026/05/27 14:16:01,2PIM,1
2026/05/27 14:16:01,9CB2,1
2026/05/27 14:16:01,24D6,1
2026/05/27 14:16:01,1431,1
2026/05/27 14:16:01,FRAG,1
2026/05/27 14:16:01,A0A1,1
2026/05/27 14:16:01,2CLI,1
2026/05/27 14:16:01,FRSV,1
2026/05/27 14:16:01,FRPE,1
2026/05/27 14:16:01,7841,1
2026/05/27 14:16:01,2AUC,1
2026/05/27 14:16:01,FRSL,1
2026/05/27 14:16:01,2CUM,1
2026/05/27 14:16:01,2TER,1
2026/05/27 14:16:01,2NER,1
2026/05/27 14:16:01,9CB8,1
2026/05/27 14:16:01,E461,1
2026/05/27 14:16:01,C820,1
2026/05/27 14:16:01,FRUN,1
2026/05/27 14:16:01,A0B7,1
2026/05/27 14:16:01,2CAS,1
2026/05/27 14:16:01,24D7,1
2026/05/27 14:16:01,7843,1
2026/05/27 14:16:01,FRMY,1
2026/05/27 14:16:01,2FIG,1
2026/05/27 14:16:01,1430,1
2026/05/27 14:16:01,2WOR,1
2026/05/27 14:16:01,FRBR,0
2026/05/27 14:16:01,24D8,1
2026/05/27 14:16:01,FRDR,1
2026/05/27 14:16:01,7842,1
2026/05/27 14:16:01,2VIE,1
2026/05/27 14:16:01,FRVL,1
2026/05/27 14:16:01,E465,1
2026/05/27 14:16:01,A842,1
2026/05/27 14:16:01,5C01,1
2026/05/27 14:16:01,2SAL,1
2026/05/27 14:16:01,E831,1
2026/05/27 14:16:01,E0E2,1
2026/05/27 14:16:01,2BIL,1
2026/05/27 14:16:01,FRCP,1
2026/05/27 14:16:01,1434,1
2026/05/27 14:16:01,30C0,1
2026/05/27 14:16:01,2BAL,1
2026/05/27 14:16:01,FRBO,1
2026/05/27 14:16:01,KONZ,1
2026/05/27 14:16:01,24D3,1
